ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_regime_filter,after_ema_filter,after_volume_filter,after_rsi_filter,after_momentum_filter,after_pullback_filter,after_breakout_filter,after_trend_filter,final_trades
0.0001,0.8,45,633,633,577,577,545,545,545,545,545,545
0.0001,0.8,50,633,633,577,577,501,501,501,501,501,501
0.0001,0.8,55,633,633,577,577,428,428,428,428,428,428
0.0001,0.8,60,633,633,577,577,337,337,337,337,337,337
0.0001,1.0,45,633,633,577,577,545,545,545,545,545,545
0.0001,1.0,50,633,633,577,577,501,501,501,501,501,501
0.0001,1.0,55,633,633,577,577,428,428,428,428,428,428
0.0001,1.0,60,633,633,577,577,337,337,337,337,337,337
0.0001,1.2,45,633,633,577,577,545,545,545,545,545,545
0.0001,1.2,50,633,633,577,577,501,501,501,501,501,501
0.0001,1.2,55,633,633,577,577,428,428,428,428,428,428
0.0001,1.2,60,633,633,577,577,337,337,337,337,337,337
0.0001,1.4,45,633,633,577,391,370,370,370,370,370,370
0.0001,1.4,50,633,633,577,391,343,343,343,343,343,343
0.0001,1.4,55,633,633,577,391,300,300,300,300,300,300
0.0001,1.4,60,633,633,577,391,238,238,238,238,238,238
0.0002,0.8,45,633,633,514,514,489,489,489,489,489,489
0.0002,0.8,50,633,633,514,514,451,451,451,451,451,451
0.0002,0.8,55,633,633,514,514,384,384,384,384,384,384
0.0002,0.8,60,633,633,514,514,310,310,310,310,310,310
0.0002,1.0,45,633,633,514,514,489,489,489,489,489,489
0.0002,1.0,50,633,633,514,514,451,451,451,451,451,451
0.0002,1.0,55,633,633,514,514,384,384,384,384,384,384
0.0002,1.0,60,633,633,514,514,310,310,310,310,310,310
0.0002,1.2,45,633,633,514,514,489,489,489,489,489,489
0.0002,1.2,50,633,633,514,514,451,451,451,451,451,451
0.0002,1.2,55,633,633,514,514,384,384,384,384,384,384
0.0002,1.2,60,633,633,514,514,310,310,310,310,310,310
0.0002,1.4,45,633,633,514,347,330,330,330,330,330,330
0.0002,1.4,50,633,633,514,347,306,306,306,306,306,306
0.0002,1.4,55,633,633,514,347,268,268,268,268,268,268
0.0002,1.4,60,633,633,514,347,217,217,217,217,217,217
0.0003,0.8,45,633,633,421,421,404,404,404,404,404,404
0.0003,0.8,50,633,633,421,421,375,375,375,375,375,375
0.0003,0.8,55,633,633,421,421,326,326,326,326,326,326
0.0003,0.8,60,633,633,421,421,263,263,263,263,263,263
0.0003,1.0,45,633,633,421,421,404,404,404,404,404,404
0.0003,1.0,50,633,633,421,421,375,375,375,375,375,375
0.0003,1.0,55,633,633,421,421,326,326,326,326,326,326
0.0003,1.0,60,633,633,421,421,263,263,263,263,263,263
0.0003,1.2,45,633,633,421,421,404,404,404,404,404,404
0.0003,1.2,50,633,633,421,421,375,375,375,375,375,375
0.0003,1.2,55,633,633,421,421,326,326,326,326,326,326
0.0003,1.2,60,633,633,421,421,263,263,263,263,263,263
0.0003,1.4,45,633,633,421,295,283,283,283,283,283,283
0.0003,1.4,50,633,633,421,295,265,265,265,265,265,265
0.0003,1.4,55,633,633,421,295,236,236,236,236,236,236
0.0003,1.4,60,633,633,421,295,190,190,190,190,190,190
0.0004,0.8,45,633,633,321,321,307,307,307,307,307,307
0.0004,0.8,50,633,633,321,321,291,291,291,291,291,291
0.0004,0.8,55,633,633,321,321,259,259,259,259,259,259
0.0004,0.8,60,633,633,321,321,212,212,212,212,212,212
0.0004,1.0,45,633,633,321,321,307,307,307,307,307,307
0.0004,1.0,50,633,633,321,321,291,291,291,291,291,291
0.0004,1.0,55,633,633,321,321,259,259,259,259,259,259
0.0004,1.0,60,633,633,321,321,212,212,212,212,212,212
0.0004,1.2,45,633,633,321,321,307,307,307,307,307,307
0.0004,1.2,50,633,633,321,321,291,291,291,291,291,291
0.0004,1.2,55,633,633,321,321,259,259,259,259,259,259
0.0004,1.2,60,633,633,321,321,212,212,212,212,212,212
0.0004,1.4,45,633,633,321,233,223,223,223,223,223,223
0.0004,1.4,50,633,633,321,233,214,214,214,214,214,214
0.0004,1.4,55,633,633,321,233,194,194,194,194,194,194
0.0004,1.4,60,633,633,321,233,162,162,162,162,162,162
0.0005,0.8,45,633,633,243,243,233,233,233,233,233,233
0.0005,0.8,50,633,633,243,243,223,223,223,223,223,223
0.0005,0.8,55,633,633,243,243,202,202,202,202,202,202
0.0005,0.8,60,633,633,243,243,175,175,175,175,175,175
0.0005,1.0,45,633,633,243,243,233,233,233,233,233,233
0.0005,1.0,50,633,633,243,243,223,223,223,223,223,223
0.0005,1.0,55,633,633,243,243,202,202,202,202,202,202
0.0005,1.0,60,633,633,243,243,175,175,175,175,175,175
0.0005,1.2,45,633,633,243,243,233,233,233,233,233,233
0.0005,1.2,50,633,633,243,243,223,223,223,223,223,223
0.0005,1.2,55,633,633,243,243,202,202,202,202,202,202
0.0005,1.2,60,633,633,243,243,175,175,175,175,175,175
0.0005,1.4,45,633,633,243,181,175,175,175,175,175,175
0.0005,1.4,50,633,633,243,181,169,169,169,169,169,169
0.0005,1.4,55,633,633,243,181,156,156,156,156,156,156
0.0005,1.4,60,633,633,243,181,139,139,139,139,139,139
