entry_ts,exit_ts,exit_reason,entry_price,exit_price,pnl_pct,net_pct,tp1_hit,equity_before,position_notional,pnl_usdt,equity_after
2025-02-28 16:11:00,2025-02-28 16:38:00,tp,83457.3,84458.7876,1.2,1.12,False,1000.0,200.0,2.24,1002.24
2025-02-28 19:06:00,2025-02-28 19:36:00,timeout,84420.5,84529.6,0.1292,0.0492,False,1002.24,200.448,0.0987,1002.3387
2025-03-01 03:06:00,2025-03-01 03:36:00,timeout,85023.2,85228.5,0.2415,0.1615,False,1002.3387,200.4677,0.3237,1002.6624
2025-03-01 22:17:00,2025-03-01 22:47:00,timeout,85790.3,85960.4,0.1983,0.1183,False,1002.6624,200.5325,0.2372,1002.8995
2025-03-02 18:16:00,2025-03-02 18:36:00,sl,93147.0,92588.118,-0.6,-0.68,False,1002.8995,200.5799,-1.3639,1001.5356
2025-03-02 20:37:00,2025-03-02 21:07:00,timeout,93670.1,93964.6,0.3144,0.2344,False,1001.5356,200.3071,0.4695,1002.0051
2025-03-02 21:09:00,2025-03-02 21:39:00,timeout,93899.1,93749.9,-0.1589,-0.2389,False,1002.0051,200.401,-0.4787,1001.5264
2025-03-03 12:33:00,2025-03-03 13:03:00,timeout,92709.4,93125.6,0.4489,0.3689,False,1001.5264,200.3053,0.739,1002.2654
2025-03-04 18:22:00,2025-03-04 18:52:00,timeout,85473.1,86274.9,0.9381,0.8581,False,1002.2654,200.4531,1.72,1003.9854
2025-03-05 17:45:00,2025-03-05 18:08:00,sl,89581.0,89043.514,-0.6,-0.68,False,1003.9854,200.7971,-1.3654,1002.62
2025-03-05 19:18:00,2025-03-05 19:48:00,timeout,89569.5,89874.2,0.3402,0.2602,False,1002.62,200.524,0.5217,1003.1417
2025-03-06 02:22:00,2025-03-06 02:52:00,timeout,91185.6,91828.1,0.7046,0.6246,False,1003.1417,200.6283,1.2531,1004.3948
2025-03-06 22:16:00,2025-03-06 22:46:00,timeout,89762.1,90312.2,0.6128,0.5328,False,1004.3948,200.879,1.0704,1005.4652
2025-03-07 05:57:00,2025-03-07 06:27:00,timeout,88132.5,87969.9,-0.1845,-0.2645,False,1005.4652,201.093,-0.5319,1004.9333
2025-03-07 15:11:00,2025-03-07 15:15:00,sl,90204.9,89663.6706,-0.6,-0.68,False,1004.9333,200.9867,-1.3667,1003.5666
2025-03-10 02:05:00,2025-03-10 02:18:00,tp,81485.7,82463.5284,1.2,1.12,False,1003.5666,200.7133,2.248,1005.8146
2025-03-10 02:51:00,2025-03-10 03:21:00,timeout,82221.4,81924.7,-0.3609,-0.4409,False,1005.8146,201.1629,-0.8868,1004.9278
2025-03-10 09:56:00,2025-03-10 10:26:00,timeout,82120.8,81852.5,-0.3267,-0.4067,False,1004.9278,200.9856,-0.8174,1004.1103
2025-03-11 04:00:00,2025-03-11 04:30:00,timeout,79467.0,80101.4,0.7983,0.7183,False,1004.1103,200.8221,1.4425,1005.5529
2025-03-11 04:41:00,2025-03-11 05:11:00,timeout,79763.1,80170.1,0.5103,0.4303,False,1005.5529,201.1106,0.8653,1006.4182
2025-03-11 09:43:00,2025-03-11 10:13:00,timeout,81470.8,81540.6,0.0857,0.0057,False,1006.4182,201.2836,0.0114,1006.4296
2025-03-12 08:23:00,2025-03-12 08:53:00,timeout,82083.1,82582.5,0.6084,0.5284,False,1006.4296,201.2859,1.0636,1007.4932
2025-03-12 13:30:00,2025-03-12 13:54:00,sl,83326.0,82826.044,-0.6,-0.68,False,1007.4932,201.4986,-1.3702,1006.123
2025-03-12 21:27:00,2025-03-12 21:57:00,timeout,83097.9,82963.6,-0.1616,-0.2416,False,1006.123,201.2246,-0.4862,1005.6368
